Sp,LT,Madurez
Cynoscion analis,13,Inmaduro
Cynoscion analis,13,Inmaduro
Cynoscion analis,11,Inmaduro
Cynoscion analis,12,Inmaduro
Cynoscion analis,13,Inmaduro
Cynoscion analis,14,Inmaduro
Cynoscion analis,14,Inmaduro
Cynoscion analis,14,Inmaduro
Cynoscion analis,15,Inmaduro
Cynoscion analis,15,Inmaduro
Cynoscion analis,15,Inmaduro
Cynoscion analis,16,Inmaduro
Cynoscion analis,17,Inmaduro
Cynoscion analis,17,Inmaduro
Cynoscion analis,18,Inmaduro
Cynoscion analis,18,Inmaduro
Cynoscion analis,20,Inmaduro
Cynoscion analis,20.3,Inmaduro
Cynoscion analis,20.5,Inmaduro
Cynoscion analis,21.2,Inmaduro
Cynoscion analis,21.5,Inmaduro
Cynoscion analis,22,Inmaduro
Cynoscion analis,22,Inmaduro
Cynoscion analis,22.2,Inmaduro
Cynoscion analis,22.4,Inmaduro
Cynoscion analis,22.5,Inmaduro
Cynoscion analis,22.6,Inmaduro
Cynoscion analis,22.6,Inmaduro
Cynoscion analis,23.1,Inmaduro
Cynoscion analis,23.1,Inmaduro
Cynoscion analis,23.5,Inmaduro
Cynoscion analis,23.5,Inmaduro
Cynoscion analis,23.2,Inmaduro
Cynoscion analis,20.5,Maduro
Cynoscion analis,21.2,Maduro
Cynoscion analis,21.5,Maduro
Cynoscion analis,22,Maduro
Cynoscion analis,22,Maduro
Cynoscion analis,22.2,Maduro
Cynoscion analis,22.4,Maduro
Cynoscion analis,22.5,Maduro
Cynoscion analis,22.6,Maduro
Cynoscion analis,22.6,Maduro
Cynoscion analis,23.1,Maduro
Cynoscion analis,23.1,Maduro
Cynoscion analis,23.5,Maduro
Cynoscion analis,23.5,Maduro
Cynoscion analis,23.8,Maduro
Cynoscion analis,24.5,Maduro
Cynoscion analis,24.7,Maduro
Cynoscion analis,25,Maduro
Cynoscion analis,25,Maduro
Cynoscion analis,25,Maduro
Cynoscion analis,25,Maduro
Cynoscion analis,25,Maduro
Cynoscion analis,25.2,Maduro
Cynoscion analis,25.3,Maduro
Cynoscion analis,25.5,Maduro
Cynoscion analis,25.6,Maduro
Cynoscion analis,25.6,Maduro
Cynoscion analis,25.7,Maduro
Cynoscion analis,25.8,Maduro
Cynoscion analis,25.8,Maduro
