Sp,LT,LS,Peso,Peso_ev,P_gonad,FC,IGS,Fec,Fec2,Fec_parcial,A,B,ale,Npulso,
Stellifer minor,11.3,10.7,28,23,1.22,1.940540454,5.304347826,2586.008,2751.008,2119.678689,2356.4,-288.8,165,1.622647749,
Stellifer minor,13.5,11.4,50,35,0.73,2.032210537,2.085714286,1431.372,1918.372,1960.783562,2356.4,-288.8,487,1.674296384,
Stellifer minor,13.8,12.2,48,40,5.02,1.826433979,12.55,11540.328,11589.328,2298.87012,2356.4,-288.8,49,1.76785031,
Stellifer minor,13.9,11.9,70,55,2.51,2.606475453,4.563636364,5625.764,6108.764,2241.340239,2356.4,-288.8,483,1.689147092,
Stellifer minor,14.1,12.2,55,45,0.86,1.962028681,1.911111111,1737.704,1952.704,2020.586047,2356.4,-288.8,215,1.628555449,
Stellifer minor,14.1,12.2,57,46,6.95,2.033375178,15.10869565,16088.18,16569.18,2314.846043,2356.4,-288.8,481,1.822713449,
Stellifer minor,14.2,13.3,54,45,5.2,1.885943712,11.55555556,11964.48,12090.48,2300.861538,2356.4,-288.8,126,1.774310829,
Stellifer minor,14.2,12.3,56,48,5.03,1.955793479,10.47916667,11563.892,11480.892,2298.984493,2356.4,-288.8,-83,1.765986523,
Stellifer minor,14.3,12.2,55,40,1.96,1.8808518,4.9,4329.744,4390.744,2209.053061,2356.4,-288.8,61,1.648913818,
Stellifer minor,14.3,12.5,55,50,2.22,1.8808518,4.44,4942.408,5070.408,2226.30991,2356.4,-288.8,128,1.664208065,
Stellifer minor,14.3,12.2,57,45,1.76,1.949246411,3.911111111,3858.464,3675.464,2192.309091,2356.4,-288.8,-183,1.626281708,
Stellifer minor,14.4,12.4,60,49,4.19,2.00938786,8.551020408,9584.516,9421.516,2287.473986,2356.4,-288.8,-163,1.737340322,
Stellifer minor,14.4,12.3,60,40,2.15,2.00938786,5.375,4777.46,4911.46,2222.074419,2356.4,-288.8,134,1.661155261,
Stellifer minor,14.4,12.5,50,45,1.73,1.674489883,3.844444444,3787.772,3944.772,2189.463584,2356.4,-288.8,157,1.642421428,
Stellifer minor,14.5,12.5,55,54,1.82,1.804092009,3.37037037,3999.848,4430.848,2197.718681,2356.4,-288.8,431,1.659214568,
Stellifer minor,14.5,12.6,60,50,3.47,1.968100373,6.94,7887.908,8172.908,2273.172334,2356.4,-288.8,285,1.721108669,
Stellifer minor,14.5,12.2,47,39,2.04,1.541678626,5.230769231,4518.256,4851.256,2214.831373,2356.4,-288.8,333,1.664169218,
Stellifer minor,14.5,12.2,54,48,3.31,1.771290336,6.895833333,7510.884,7492.884,2269.149245,2356.4,-288.8,-18,1.70753379,
Stellifer minor,14.5,12.4,46,46,2.69,1.508876953,5.847826087,6049.916,6152.916,2249.039405,2356.4,-288.8,103,1.684755268,
Stellifer minor,14.5,12.5,62,50,2.89,2.033703719,5.78,6521.196,6446.196,2256.469204,2356.4,-288.8,-75,1.688169951,
Stellifer minor,14.6,12.5,65,55,1.58,2.088597671,2.872727273,3434.312,3904.312,2173.61519,2356.4,-288.8,470,1.652336868,
Stellifer minor,14.6,12.5,60,55,2.53,1.927936311,4.6,5672.892,5719.892,2242.249802,2356.4,-288.8,47,1.675722225,
Stellifer minor,14.6,12.8,55,45,3.95,1.767274952,8.777777778,9018.98,9379.98,2283.286076,2356.4,-288.8,361,1.739686478,
Stellifer minor,14.6,12.5,65,55,2.35,2.088597671,4.272727273,5248.74,5173.74,2233.506383,2356.4,-288.8,-75,1.662768743,
Stellifer minor,14.6,12.6,56,50,3.7,1.799407224,7.4,8429.88,8846.88,2278.345946,2356.4,-288.8,417,1.732305027,
Stellifer minor,14.7,12.6,70,50,2.06,2.203667343,4.12,4565.384,4834.384,2216.205825,2356.4,-288.8,269,1.662454408,
Stellifer minor,14.7,12.7,60,50,2.3,1.888857723,4.6,5130.92,5163.92,2230.834783,2356.4,-288.8,33,1.66439018,
Stellifer minor,14.7,13,57,52,2.29,1.794414837,4.403846154,5107.356,5234.356,2230.286463,2356.4,-288.8,127,1.667437488,
Stellifer minor,14.7,12.7,69,54,5.52,2.172186381,10.22222222,12718.528,13189.528,2304.081159,2356.4,-288.8,471,1.788230956,
Stellifer minor,14.8,12.8,65,55,2.64,2.005063866,4.8,5932.096,6247.096,2247.006061,2356.4,-288.8,315,1.689215818,
Stellifer minor,14.8,12.7,59,54,0.25,1.819981048,0.462962963,300.3,421.3,1201.2,2356.4,-288.8,121,2.184974575,
Stellifer minor,14.8,13,65,47,2.73,2.005063866,5.808510638,6144.172,6130.172,2250.612454,2356.4,-288.8,-14,1.682863104,
Stellifer minor,14.9,12.7,65,60,2.84,1.964963789,4.733333333,6403.376,6407.376,2254.709859,2356.4,-288.8,4,1.688323752,
Stellifer minor,14.9,12.9,60,50,3.53,1.813812728,7.06,8029.292,8219.292,2274.586969,2356.4,-288.8,190,1.721118807,
Stellifer minor,14.9,12.8,55,48,4.69,1.662661667,9.770833333,10762.716,11022.716,2294.822175,2356.4,-288.8,260,1.761482289,
Stellifer minor,14.9,12.9,56,49,2.94,1.69289188,6,6639.016,6661.016,2258.168707,2356.4,-288.8,22,1.693204084,
Stellifer minor,15,12.6,60,55,2.28,1.777777778,4.145454545,5083.792,5417.792,2229.733333,2356.4,-288.8,334,1.674560034,
Stellifer minor,15,13,65,60,3.25,1.925925926,5.416666667,7369.5,7715.5,2267.538462,2356.4,-288.8,346,1.714354196,
Stellifer minor,15,13,60,55,2.2,1.777777778,4,4895.28,5244.28,2225.127273,2356.4,-288.8,349,1.671673309,
