Sp,Estado,Rec,Diametro
Cyonoscion analis,Pg1,Previt,40.15139022
Cyonoscion analis,Pg1,Previt,22.3994756
Cyonoscion analis,Pg1,Previt,48.72800784
Cyonoscion analis,Pg1,Previt,55.50243576
Cyonoscion analis,Pg1,Previt,46.71751119
Cyonoscion analis,Pg1,Previt,43.12133275
Cyonoscion analis,Pg1,Previt,57.08787791
Cyonoscion analis,Pg1,Previt,29.47535852
Cyonoscion analis,Pg1,Previt,44.89852094
Cyonoscion analis,Pg1,Previt,44.86135076
Cyonoscion analis,Pg1,Previt,48.23551225
Cyonoscion analis,Pg1,Previt,59.83459663
Cyonoscion analis,Pg1,Previt,42.47166752
Cyonoscion analis,Pg1,Previt,53.97040288
Cyonoscion analis,Pg1,Previt,54.80969383
Cyonoscion analis,Pg1,Previt,48.11961048
Cyonoscion analis,Pg1,Previt,45.93192437
Cyonoscion analis,Pg1,Previt,55.38849047
Cyonoscion analis,Pg1,Previt,47.74278362
Cyonoscion analis,Pg1,Previt,30.0327231
Cyonoscion analis,Pg1,Previt,29.84389209
Cyonoscion analis,Pg1,Previt,45.42254632
Cyonoscion analis,Pg1,Previt,47.39272761
Cyonoscion analis,Pg1,Previt,57.91873728
Cyonoscion analis,Pg1,Previt,38.31559023
Cyonoscion analis,Pg1,Previt,51.80720579
Cyonoscion analis,Pg1,Previt,50.13509741
Cyonoscion analis,Pg1,Previt,38.31493468
Cyonoscion analis,Pg1,Previt,62.94873099
Cyonoscion analis,Pg1,Previt,44.63780154
Cyonoscion analis,Pg1,Previt,30.99372079
Cyonoscion analis,Pg1,Previt,33.32322342
Cyonoscion analis,Pg1,Previt,45.83651349
Cyonoscion analis,Pg1,Previt,59.51784985
Cyonoscion analis,Pg1,Previt,54.33480457
Cyonoscion analis,Pg1,Previt,45.22690335
Cyonoscion analis,Pg1,Previt,30.56652185
Cyonoscion analis,Pg1,Previt,37.8144716
Cyonoscion analis,Pg1,Previt,44.90518742
Cyonoscion analis,Pg1,Previt,42.85994459
Cyonoscion analis,Pg1,Previt,40.58533806
Cyonoscion analis,Pg1,Previt,49.91216532
Cyonoscion analis,Pg1,Previt,36.33016376
Cyonoscion analis,Pg1,Previt,31.73858842
Cyonoscion analis,Pg1,Previt,38.23102763
Cyonoscion analis,Pg1,Previt,41.11378815
Cyonoscion analis,Pg1,Previt,52.07800887
Cyonoscion analis,Pg1,Previt,36.78594886
Cyonoscion analis,Pg1,Previt,32.3706582
Cyonoscion analis,Pg1,Previt,50.34661437
Cyonoscion analis,Pg2,Previt,21.24359205
Cyonoscion analis,Pg2,Previt,65.67048702
Cyonoscion analis,Pg2,Previt,46.11079791
Cyonoscion analis,Pg2,Previt,47.59780057
Cyonoscion analis,Pg2,Previt,57.33495496
Cyonoscion analis,Pg2,Previt,48.0971197
Cyonoscion analis,Pg2,Previt,46.93474666
Cyonoscion analis,Pg2,Previt,47.02586422
Cyonoscion analis,Pg2,Previt,42.69917675
Cyonoscion analis,Pg2,Previt,44.44938082
Cyonoscion analis,Pg2,Previt,55.8762996
Cyonoscion analis,Pg2,Previt,39.26782364
Cyonoscion analis,Pg2,Previt,58.81547941
Cyonoscion analis,Pg2,Previt,79.31790779
Cyonoscion analis,Pg2,Previt,74.74767119
Cyonoscion analis,Pg2,Previt,49.02258728
Cyonoscion analis,Pg2,Previt,27.32885015
Cyonoscion analis,Pg2,Previt,39.45403652
Cyonoscion analis,Pg2,Previt,34.660476
Cyonoscion analis,Pg2,Previt,39.93704549
Cyonoscion analis,Pg2,Previt,64.53226307
Cyonoscion analis,Pg2,Previt,45.75889475
Cyonoscion analis,Pg2,Previt,59.84894995
Cyonoscion analis,Pg2,Previt,48.63287422
Cyonoscion analis,Pg2,Previt,62.96810539
Cyonoscion analis,Pg2,Previt,67.29842724
Cyonoscion analis,Pg2,Previt,63.52435504
Cyonoscion analis,Pg2,Previt,46.54701737
Cyonoscion analis,Pg2,Previt,78.81452027
Cyonoscion analis,Pg2,Previt,70.47498303
Cyonoscion analis,Pg2,Previt,42.97138353
Cyonoscion analis,Pg2,Previt,37.73503022
Cyonoscion analis,Pg2,Previt,78.9154952
Cyonoscion analis,Pg2,Previt,46.94111863
Cyonoscion analis,Pg2,Previt,59.78461358
Cyonoscion analis,Pg2,Previt,42.34413338
Cyonoscion analis,Pg2,Previt,46.21477637
Cyonoscion analis,Pg2,Previt,46.28962301
Cyonoscion analis,Pg2,Previt,41.10992039
Cyonoscion analis,Pg2,Previt,32.6526028
Cyonoscion analis,Pg2,Previt,52.63806188
Cyonoscion analis,Pg2,Previt,47.483889
Cyonoscion analis,Pg2,Previt,53.4291697
Cyonoscion analis,Pg2,Previt,38.16144187
Cyonoscion analis,Pg2,Previt,32.79585441
Cyonoscion analis,Pg2,Previt,49.98417788
Cyonoscion analis,Pg2,Previt,72.84702804
Cyonoscion analis,Pg2,Previt,29.35591564
Cyonoscion analis,Pg2,Previt,43.31205159
Cyonoscion analis,Pg2,Previt,54.65975688
Cyonoscion analis,CA,Previt,121.3253537
Cyonoscion analis,CA,Previt,73.38422164
Cyonoscion analis,CA,Previt,45.3071751
Cyonoscion analis,CA,Previt,47.63668139
Cyonoscion analis,CA,Previt,59.57191747
Cyonoscion analis,CA,Previt,14.07924981
Cyonoscion analis,CA,Previt,68.84687265
Cyonoscion analis,CA,Previt,40.07406226
Cyonoscion analis,CA,Previt,91.12086429
Cyonoscion analis,CA,Previt,60.16136735
Cyonoscion analis,CA,Previt,62.62080931
Cyonoscion analis,CA,Previt,51.62328779
Cyonoscion analis,CA,Previt,55.52812721
Cyonoscion analis,CA,Previt,29.76331601
Cyonoscion analis,CA,Previt,101.3113349
Cyonoscion analis,CA,Previt,84.61119369
Cyonoscion analis,CA,Previt,79.24640991
Cyonoscion analis,CA,Previt,32.84626326
Cyonoscion analis,CA,Previt,100.2078573
Cyonoscion analis,CA,Previt,109.4236137
Cyonoscion analis,CA,Previt,70.22370358
Cyonoscion analis,CA,Previt,18.9210866
Cyonoscion analis,CA,Previt,42.64472349
Cyonoscion analis,CA,Previt,57.16641084
Cyonoscion analis,CA,Previt,87.78698412
Cyonoscion analis,CA,Previt,77.22115093
Cyonoscion analis,CA,Previt,83.01548809
Cyonoscion analis,CA,Previt,69.4577099
Cyonoscion analis,CA,Previt,95.74834087
Cyonoscion analis,CA,Previt,20.65797489
Cyonoscion analis,CA,Previt,43.30161751
Cyonoscion analis,CA,Previt,51.27654996
Cyonoscion analis,CA,Previt,120.6482539
Cyonoscion analis,CA,Previt,36.08212558
Cyonoscion analis,CA,Previt,44.62571797
Cyonoscion analis,CA,Previt,77.73839093
Cyonoscion analis,CA,Previt,113.6164989
Cyonoscion analis,CA,Previt,86.02762068
Cyonoscion analis,CA,Previt,79.54488806
Cyonoscion analis,CA,Previt,49.38275508
Cyonoscion analis,CA,Previt,97.89382826
Cyonoscion analis,CA,Previt,28.02596998
Cyonoscion analis,CA,Previt,82.57977902
Cyonoscion analis,CA,Previt,37.68037549
Cyonoscion analis,CA,Previt,68.73489687
Cyonoscion analis,CA,Previt,29.38333343
Cyonoscion analis,CA,Previt,79.24140963
Cyonoscion analis,CA,Previt,87.38935888
Cyonoscion analis,CA,Previt,54.8271617
Cyonoscion analis,CA,Previt,15.75502416
Cyonoscion analis,Vtg1,Vit,63.38844196
Cyonoscion analis,Vtg1,Vit,51.23727496
Cyonoscion analis,Vtg1,Vit,113.5478947
Cyonoscion analis,Vtg1,Vit,95.67061914
Cyonoscion analis,Vtg1,Vit,123.5486235
Cyonoscion analis,Vtg1,Vit,109.9088159
Cyonoscion analis,Vtg1,Vit,69.74325059
Cyonoscion analis,Vtg1,Vit,81.192211
Cyonoscion analis,Vtg1,Vit,85.65307549
Cyonoscion analis,Vtg1,Vit,-1.108393268
Cyonoscion analis,Vtg1,Vit,61.35937363
Cyonoscion analis,Vtg1,Vit,73.97689753
Cyonoscion analis,Vtg1,Vit,133.5870429
Cyonoscion analis,Vtg1,Vit,141.7475119
Cyonoscion analis,Vtg1,Vit,96.50102542
Cyonoscion analis,Vtg1,Vit,52.62198465
Cyonoscion analis,Vtg1,Vit,86.87204565
Cyonoscion analis,Vtg1,Vit,84.57909991
Cyonoscion analis,Vtg1,Vit,34.85628634
Cyonoscion analis,Vtg1,Vit,47.33814073
Cyonoscion analis,Vtg1,Vit,193.2829666
Cyonoscion analis,Vtg1,Vit,38.14379335
Cyonoscion analis,Vtg1,Vit,48.17315239
Cyonoscion analis,Vtg1,Vit,119.5091536
Cyonoscion analis,Vtg1,Vit,115.1629165
Cyonoscion analis,Vtg1,Vit,93.65583894
Cyonoscion analis,Vtg1,Vit,137.7115364
Cyonoscion analis,Vtg1,Vit,51.62542657
Cyonoscion analis,Vtg1,Vit,117.6302209
Cyonoscion analis,Vtg1,Vit,83.95636759
Cyonoscion analis,Vtg1,Vit,61.97164496
Cyonoscion analis,Vtg1,Vit,114.6088215
Cyonoscion analis,Vtg1,Vit,57.93872556
Cyonoscion analis,Vtg1,Vit,159.1019957
Cyonoscion analis,Vtg1,Vit,60.5643592
Cyonoscion analis,Vtg1,Vit,80.37946935
Cyonoscion analis,Vtg1,Vit,94.74672317
Cyonoscion analis,Vtg1,Vit,-0.221231077
Cyonoscion analis,Vtg1,Vit,155.8327854
Cyonoscion analis,Vtg1,Vit,70.20391521
Cyonoscion analis,Vtg1,Vit,75.63884383
Cyonoscion analis,Vtg1,Vit,57.95356134
Cyonoscion analis,Vtg1,Vit,83.56297541
Cyonoscion analis,Vtg1,Vit,158.5118144
Cyonoscion analis,Vtg1,Vit,121.3635609
Cyonoscion analis,Vtg1,Vit,143.2519152
Cyonoscion analis,Vtg1,Vit,94.00681432
Cyonoscion analis,Vtg1,Vit,58.81650592
Cyonoscion analis,Vtg1,Vit,77.12520744
Cyonoscion analis,Vtg1,Vit,100.0034248
Cyonoscion analis,Vtg2,Vit,260.4045678
Cyonoscion analis,Vtg2,Vit,225.7506865
Cyonoscion analis,Vtg2,Vit,304.0973192
Cyonoscion analis,Vtg2,Vit,168.2364815
Cyonoscion analis,Vtg2,Vit,283.198267
Cyonoscion analis,Vtg2,Vit,270.5853668
Cyonoscion analis,Vtg2,Vit,224.9757299
Cyonoscion analis,Vtg2,Vit,281.5810851
Cyonoscion analis,Vtg2,Vit,115.9373382
Cyonoscion analis,Vtg2,Vit,128.7992599
Cyonoscion analis,Vtg2,Vit,175.2383724
Cyonoscion analis,Vtg2,Vit,135.0697535
Cyonoscion analis,Vtg2,Vit,198.8671438
Cyonoscion analis,Vtg2,Vit,185.0881941
Cyonoscion analis,Vtg2,Vit,138.5440871
Cyonoscion analis,Vtg2,Vit,251.3341594
Cyonoscion analis,Vtg2,Vit,181.977205
Cyonoscion analis,Vtg2,Vit,241.9107372
Cyonoscion analis,Vtg2,Vit,231.8636485
Cyonoscion analis,Vtg2,Vit,183.1639155
Cyonoscion analis,Vtg2,Vit,125.1264799
Cyonoscion analis,Vtg2,Vit,175.5796043
Cyonoscion analis,Vtg2,Vit,213.8630091
Cyonoscion analis,Vtg2,Vit,248.6617485
Cyonoscion analis,Vtg2,Vit,280.6107423
Cyonoscion analis,Vtg2,Vit,266.4065327
Cyonoscion analis,Vtg2,Vit,241.0200762
Cyonoscion analis,Vtg2,Vit,235.959021
Cyonoscion analis,Vtg2,Vit,235.6994826
Cyonoscion analis,Vtg2,Vit,280.7988157
Cyonoscion analis,Vtg2,Vit,223.8305433
Cyonoscion analis,Vtg2,Vit,204.4026697
Cyonoscion analis,Vtg2,Vit,84.69957136
Cyonoscion analis,Vtg2,Vit,230.3022245
Cyonoscion analis,Vtg2,Vit,198.6461428
Cyonoscion analis,Vtg2,Vit,221.4446061
Cyonoscion analis,Vtg2,Vit,130.978031
Cyonoscion analis,Vtg2,Vit,250.4171109
Cyonoscion analis,Vtg2,Vit,121.8765532
Cyonoscion analis,Vtg2,Vit,131.897953
Cyonoscion analis,Vtg2,Vit,93.02201901
Cyonoscion analis,Vtg2,Vit,208.1121275
Cyonoscion analis,Vtg2,Vit,117.9527874
Cyonoscion analis,Vtg2,Vit,286.3784027
Cyonoscion analis,Vtg2,Vit,235.5663909
Cyonoscion analis,Vtg2,Vit,279.6623522
Cyonoscion analis,Vtg2,Vit,202.6447957
Cyonoscion analis,Vtg2,Vit,206.2218526
Cyonoscion analis,Vtg2,Vit,274.2610209
Cyonoscion analis,Vtg2,Vit,257.7988328
Cyonoscion analis,Vtg3,Vit,334.6843886
Cyonoscion analis,Vtg3,Vit,310.2835265
Cyonoscion analis,Vtg3,Vit,285.0968831
Cyonoscion analis,Vtg3,Vit,325.1238494
Cyonoscion analis,Vtg3,Vit,349.9320837
Cyonoscion analis,Vtg3,Vit,368.0713059
Cyonoscion analis,Vtg3,Vit,387.2269511
Cyonoscion analis,Vtg3,Vit,343.3844096
Cyonoscion analis,Vtg3,Vit,350.4245413
Cyonoscion analis,Vtg3,Vit,315.2443965
Cyonoscion analis,Vtg3,Vit,396.6273432
Cyonoscion analis,Vtg3,Vit,331.5395905
Cyonoscion analis,Vtg3,Vit,316.957502
Cyonoscion analis,Vtg3,Vit,373.2892154
Cyonoscion analis,Vtg3,Vit,327.121653
Cyonoscion analis,Vtg3,Vit,381.4347787
Cyonoscion analis,Vtg3,Vit,394.6356905
Cyonoscion analis,Vtg3,Vit,364.8471406
Cyonoscion analis,Vtg3,Vit,421.4656466
Cyonoscion analis,Vtg3,Vit,401.8215392
Cyonoscion analis,Vtg3,Vit,376.0782432
Cyonoscion analis,Vtg3,Vit,313.4311505
