Sp,Estado,Diametro,
Cyonoscion analis,Pg1,40.15139022,
Cyonoscion analis,Pg1,22.3994756,
Cyonoscion analis,Pg1,48.72800784,
Cyonoscion analis,Pg1,55.50243576,
Cyonoscion analis,Pg1,46.71751119,
Cyonoscion analis,Pg1,43.12133275,
Cyonoscion analis,Pg1,57.08787791,
Cyonoscion analis,Pg1,29.47535852,
Cyonoscion analis,Pg1,44.89852094,
Cyonoscion analis,Pg1,44.86135076,
Cyonoscion analis,Pg1,48.23551225,
Cyonoscion analis,Pg1,59.83459663,
Cyonoscion analis,Pg1,42.47166752,
Cyonoscion analis,Pg1,53.97040288,
Cyonoscion analis,Pg1,54.80969383,
Cyonoscion analis,Pg1,48.11961048,
Cyonoscion analis,Pg1,45.93192437,
Cyonoscion analis,Pg1,55.38849047,
Cyonoscion analis,Pg1,47.74278362,
Cyonoscion analis,Pg1,30.0327231,
Cyonoscion analis,Pg1,29.84389209,
Cyonoscion analis,Pg1,45.42254632,
Cyonoscion analis,Pg1,47.39272761,
Cyonoscion analis,Pg1,57.91873728,
Cyonoscion analis,Pg1,38.31559023,
Cyonoscion analis,Pg1,51.80720579,
Cyonoscion analis,Pg1,50.13509741,
Cyonoscion analis,Pg1,38.31493468,
Cyonoscion analis,Pg1,62.94873099,
Cyonoscion analis,Pg1,44.63780154,
Cyonoscion analis,Pg1,30.99372079,
Cyonoscion analis,Pg1,33.32322342,
Cyonoscion analis,Pg1,45.83651349,
Cyonoscion analis,Pg1,59.51784985,
Cyonoscion analis,Pg1,54.33480457,
Cyonoscion analis,Pg1,45.22690335,
Cyonoscion analis,Pg1,30.56652185,
Cyonoscion analis,Pg1,37.8144716,
Cyonoscion analis,Pg1,44.90518742,
Cyonoscion analis,Pg1,42.85994459,
Cyonoscion analis,Pg1,40.58533806,
Cyonoscion analis,Pg1,49.91216532,
Cyonoscion analis,Pg1,36.33016376,
Cyonoscion analis,Pg1,31.73858842,
Cyonoscion analis,Pg1,38.23102763,
Cyonoscion analis,Pg1,41.11378815,
Cyonoscion analis,Pg1,52.07800887,
Cyonoscion analis,Pg1,36.78594886,
Cyonoscion analis,Pg1,32.3706582,
Cyonoscion analis,Pg1,50.34661437,
Cyonoscion analis,Pg2,21.24359205,
Cyonoscion analis,Pg2,65.67048702,
Cyonoscion analis,Pg2,46.11079791,
Cyonoscion analis,Pg2,47.59780057,
Cyonoscion analis,Pg2,57.33495496,
Cyonoscion analis,Pg2,48.0971197,
Cyonoscion analis,Pg2,46.93474666,
Cyonoscion analis,Pg2,47.02586422,
Cyonoscion analis,Pg2,42.69917675,
Cyonoscion analis,Pg2,44.44938082,
Cyonoscion analis,Pg2,55.8762996,
Cyonoscion analis,Pg2,39.26782364,
Cyonoscion analis,Pg2,58.81547941,
Cyonoscion analis,Pg2,79.31790779,
Cyonoscion analis,Pg2,74.74767119,
Cyonoscion analis,Pg2,49.02258728,
Cyonoscion analis,Pg2,27.32885015,
Cyonoscion analis,Pg2,39.45403652,
Cyonoscion analis,Pg2,34.660476,
Cyonoscion analis,Pg2,39.93704549,
Cyonoscion analis,Pg2,64.53226307,
Cyonoscion analis,Pg2,45.75889475,
Cyonoscion analis,Pg2,59.84894995,
Cyonoscion analis,Pg2,48.63287422,
Cyonoscion analis,Pg2,62.96810539,
Cyonoscion analis,Pg2,67.29842724,
Cyonoscion analis,Pg2,63.52435504,
Cyonoscion analis,Pg2,46.54701737,
Cyonoscion analis,Pg2,78.81452027,
Cyonoscion analis,Pg2,70.47498303,
